,person:2,person:3,person:5,person:119,handbag:137,handbag:363,person:370,person:377,bird:443,bird:383,person:468,bird:482,bird:470,bird:392,bird:489
person:2,0,1665,473,2529,1758,126,753,2802,2788,1704,1292,603,1363,1431,1530
person:3,1665,0,1191,864,145,1602,2418,1138,1420,2856,372,1979,1906,1017,769
person:5,473,1191,0,2056,1286,420,1226,2329,2358,1954,819,897,1336,1089,1128
person:119,2529,864,2056,0,780,2467,3283,276,1126,3625,1237,2824,2608,1654,1379
handbag:137,1758,145,1286,780,0,1703,2512,1047,1460,2993,474,2099,2050,1162,910
handbag:363,126,1602,420,2467,1703,0,821,2741,2685,1639,1232,539,1244,1314,1424
person:370,753,2418,1226,3283,2512,821,0,3555,3480,1496,2046,733,1666,2064,2214
person:377,2802,1138,2329,276,1047,2741,3555,0,1204,3894,1510,3100,2870,1914,1641
bird:443,2788,1420,2358,1126,1460,2685,3480,1204,0,3333,1685,2848,2272,1442,1266
bird:383,1704,2856,1954,3625,2993,1639,1496,3894,3333,0,2554,1102,1063,1994,2260
person:468,1292,372,819,1237,474,1232,2046,1510,1685,2554,0,1627,1666,891,716
bird:482,603,1979,897,2824,2099,539,733,3100,2848,1102,1627,0,939,1406,1599
bird:470,1363,1906,1336,2608,2050,1244,1666,2870,2272,1063,1666,939,0,955,1229
bird:392,1431,1017,1089,1654,1162,1314,2064,1914,1442,1994,891,1406,955,0,275
bird:489,1530,769,1128,1379,910,1424,2214,1641,1266,2260,716,1599,1229,275,0
