,person:377,person:566,person:641,person:648,person:652,person:658,person:673,person:675,bird:695,person:703,bird:707,bird:708,kite:712,bird:717,bird:718,bird:719,bird:720
person:377,0,531,307,2095,2882,433,692,237,2678,699,2831,1274,676,1361,2512,2008,1774
person:566,531,0,831,2617,3404,955,165,295,3092,1226,3293,1624,490,1263,3014,2489,2218
person:641,307,831,0,1788,2576,126,995,542,2405,394,2537,1062,863,1424,2206,1708,1492
person:648,2095,2617,1788,0,787,1663,2782,2330,1355,1397,1118,1496,2517,2682,551,574,909
person:652,2882,3404,2576,787,0,2451,3570,3118,1463,2184,1002,2184,3292,3392,572,1106,1498
person:658,433,955,126,1663,2451,0,1119,667,2293,273,2416,985,956,1464,2080,1585,1377
person:673,692,165,995,2782,3570,1119,0,455,3249,1389,3456,1775,576,1322,3180,2655,2380
person:675,237,295,542,2330,3118,667,455,0,2869,935,3043,1430,556,1310,2740,2228,1977
bird:695,2678,3092,2405,1355,1463,2293,3249,2869,0,2120,506,1484,2782,2547,956,877,919
person:703,699,1226,394,1397,2184,273,1389,935,2120,0,2200,952,1215,1654,1832,1362,1201
bird:707,2831,3293,2537,1118,1002,2416,3456,3043,506,2200,0,1763,3043,2913,597,839,1079
bird:708,1274,1624,1062,1496,2184,985,1775,1430,1484,952,1763,0,1298,1210,1660,1089,714
kite:712,676,490,863,2517,3292,956,576,556,2782,1215,3043,1298,0,777,2843,2287,1966
bird:717,1361,1263,1424,2682,3392,1464,1322,1310,2547,1654,2913,1210,777,0,2869,2299,1917
bird:718,2512,3014,2206,551,572,2080,3180,2740,956,1832,597,1660,2843,2869,0,571,954
bird:719,2008,2489,1708,574,1106,1585,2655,2228,877,1362,839,1089,2287,2299,571,0,392
bird:720,1774,2218,1492,909,1498,1377,2380,1977,919,1201,1079,714,1966,1917,954,392,0
