,person:1,person:2,person:3,person:4,person:5,person:9,person:66,person:119,handbag:137,bird:195,bird:201,bird:125
person:1,0,925,2488,1602,1350,2221,2767,3380,2610,1559,2400,1034
person:2,925,0,1568,677,428,1303,1847,2462,1686,1046,1602,1038
person:3,2488,1568,0,898,1139,267,279,894,151,1525,831,2147
person:4,1602,677,898,0,256,638,1176,1792,1010,1082,1133,1464
person:5,1350,428,1139,256,0,874,1419,2034,1259,969,1250,1246
person:9,2221,1303,267,638,874,0,545,1159,401,1309,784,1899
person:66,2767,1847,279,1176,1419,545,0,616,187,1753,939,2401
person:119,3380,2462,894,1792,2034,1159,616,0,789,2273,1331,2960
handbag:137,2610,1686,151,1010,1259,401,187,789,0,1676,956,2294
bird:195,1559,1046,1525,1082,969,1309,1753,2273,1676,0,1003,733
bird:201,2400,1602,831,1133,1250,784,939,1331,956,1003,0,1732
bird:125,1034,1038,2147,1464,1246,1899,2401,2960,2294,733,1732,0
