,person:1,person:2,person:3,person:4,person:5,person:9,person:66,bird:71,person:73,bird:45
person:1,0,850,2841,2041,1312,2345,3182,3099,3401,1101
person:2,850,0,1995,1205,464,1503,2337,2339,2559,1040
person:3,2841,1995,0,807,1531,498,341,953,566,2439
person:4,2041,1205,807,0,745,310,1146,1245,1361,1674
person:5,1312,464,1531,745,0,1039,1872,1924,2095,1227
person:9,2345,1503,498,310,1039,0,838,1088,1056,1969
person:66,3182,2337,341,1146,1872,838,0,967,233,2755
bird:71,3099,2339,953,1245,1924,1088,967,0,964,2363
person:73,3401,2559,566,1361,2095,1056,233,964,0,2935
bird:45,1101,1040,2439,1674,1227,1969,2755,2363,2935,0
