,person:648,person:652,person:703,handbag:723,person:778,person:675,person:803,person:811,handbag:838,bird:870,bird:873,bird:877,bird:885,bird:858
person:648,0,870,1762,776,2002,2230,1469,1323,314,803,980,1781,629,811
person:652,870,0,2632,96,2872,3101,2339,456,590,1532,1254,2615,960,1132
person:703,1762,2632,0,2539,243,476,307,3086,2053,1384,2119,684,2013,2035
handbag:723,776,96,2539,0,2779,3007,2245,547,505,1436,1178,2518,873,1050
person:778,2002,2872,243,2779,0,233,536,3325,2295,1587,2316,724,2231,2242
person:675,2230,3101,476,3007,233,0,761,3553,2525,1783,2505,817,2439,2440
person:803,1469,2339,307,2245,536,761,0,2791,1766,1082,1817,616,1705,1730
person:811,1323,456,3086,547,3325,3553,2791,0,1046,1938,1538,3044,1310,1450
handbag:838,314,590,2053,505,2295,2525,1766,1046,0,1095,1114,2095,751,950
bird:870,803,1532,1384,1436,1587,1783,1082,1938,1095,0,735,1129,676,656
bird:873,980,1254,2119,1178,2316,2505,1817,1538,1114,735,0,1793,364,169
bird:877,1781,2615,684,2518,724,817,616,3044,2095,1129,1793,0,1806,1760
bird:885,629,960,2013,873,2231,2439,1705,1310,751,676,364,1806,0,200
bird:858,811,1132,2035,1050,2242,2440,1730,1450,950,656,169,1760,200,0
