,person:566,person:641,person:648,person:652,person:658,person:673,person:675,person:703,handbag:723,backpack:119,bird:708,bird:753,bird:757,bird:745,bird:736,bird:768,bird:769
person:566,0,457,2481,3356,959,134,269,1135,3327,496,2684,1476,2130,3276,1878,3529,1695
person:641,457,0,2031,2906,506,588,190,678,2877,133,2293,1148,1753,2874,1506,3172,1307
person:648,2481,2031,0,875,1524,2615,2221,1357,846,1989,906,1385,947,1186,1034,1752,1031
person:652,3356,2906,875,0,2399,3491,3097,2232,29,2863,1206,2174,1583,999,1760,1614,1825
person:658,959,506,1524,2399,0,1092,697,185,2370,475,1834,827,1321,2400,1089,2742,875
person:673,134,588,2615,3491,1092,0,399,1267,3461,631,2815,1600,2259,3407,2007,3654,1826
person:675,269,190,2221,3097,697,399,0,869,3067,263,2466,1293,1920,3051,1671,3333,1477
person:703,1135,678,1357,2232,185,1267,869,0,2203,659,1732,845,1247,2282,1032,2656,816
handbag:723,3327,2877,846,29,2370,3461,3067,2203,0,2834,1187,2146,1558,992,1734,1610,1797
backpack:119,496,133,1989,2863,475,631,263,659,2834,0,2203,1034,1657,2790,1407,3070,1214
bird:708,2684,2293,906,1206,1834,2815,2466,1732,1187,2203,0,1249,562,600,812,941,989
bird:753,1476,1148,1385,2174,827,1600,1293,845,2146,1034,1249,0,686,1849,443,2053,354
bird:757,2130,1753,947,1583,1321,2259,1920,1247,1558,1657,562,686,0,1162,251,1422,448
bird:745,3276,2874,1186,999,2400,3407,3051,2282,992,2790,600,1849,1162,0,1412,627,1581
bird:736,1878,1506,1034,1760,1089,2007,1671,1032,1734,1407,812,443,251,1412,0,1665,216
bird:768,3529,3172,1752,1614,2742,3654,3333,2656,1610,3070,941,2053,1422,627,1665,0,1870
bird:769,1695,1307,1031,1825,875,1826,1477,816,1797,1214,989,354,448,1581,216,1870,0
