,person:566,person:641,person:648,person:652,person:658,person:673,person:675,person:703,handbag:723,backpack:119,bird:708,bird:753,bird:757,bird:745,bird:736,bird:747,bird:733
person:566,0,438,2463,3363,958,127,261,1127,3313,437,2978,1654,2369,3596,2071,3141,2693
person:641,438,0,2031,2931,524,565,177,690,2881,129,2595,1331,1997,3208,1706,2738,2291
person:648,2463,2031,0,899,1507,2591,2207,1345,849,2030,991,1269,845,1431,911,913,616
person:652,3363,2931,899,0,2407,3491,3107,2244,50,2930,1046,2048,1386,1029,1601,732,935
person:658,958,524,1507,2407,0,1086,700,175,2357,534,2109,965,1531,2714,1255,2232,1788
person:673,127,565,2591,3491,1086,0,388,1255,3441,564,3098,1766,2488,3718,2190,3265,2817
person:675,261,177,2207,3107,700,388,0,867,3057,209,2753,1462,2150,3369,1856,2904,2456
person:703,1127,690,1345,2244,175,1255,867,0,2194,708,1994,946,1435,2589,1174,2098,1659
handbag:723,3313,2881,849,50,2357,3441,3057,2194,0,2880,1019,2001,1343,1032,1556,711,894
backpack:119,437,129,2030,2930,534,564,209,708,2880,0,2548,1252,1943,3165,1648,2705,2257
bird:708,2978,2595,991,1046,2109,3098,2753,1994,1019,2548,0,1379,615,621,915,329,384
bird:753,1654,1331,1269,2048,965,1766,1462,946,2001,1252,1379,0,766,1999,475,1607,1180
bird:757,2369,1997,845,1386,1531,2488,2150,1435,1343,1943,615,766,0,1237,300,847,455
bird:745,3596,3208,1431,1029,2714,3718,3369,2589,1032,3165,621,1999,1237,0,1537,519,931
bird:736,2071,1706,911,1601,1255,2190,1856,1174,1556,1648,915,475,300,1537,0,1132,707
bird:747,3141,2738,913,732,2232,3265,2904,2098,711,2705,329,1607,847,519,1132,0,448
bird:733,2693,2291,616,935,1788,2817,2456,1659,894,2257,384,1180,455,931,707,448,0
