,person:648,person:652,person:703,handbag:723,person:778,person:675,person:803,person:811,handbag:838,bird:870,bird:873,bird:877,bird:885
person:648,0,868,1764,776,2003,2231,1470,1321,315,838,961,1815,610
person:652,868,0,2632,96,2872,3100,2338,455,590,1579,1283,2651,1034
person:703,1764,2632,0,2540,242,475,307,3085,2053,1341,2059,673,1921
handbag:723,776,96,2540,0,2780,3008,2246,544,508,1483,1202,2554,943
person:778,2003,2872,242,2780,0,233,537,3324,2295,1542,2257,704,2139
person:675,2231,3100,475,3008,233,0,762,3551,2525,1736,2445,788,2345
person:803,1470,2338,307,2246,537,762,0,2789,1766,1041,1759,625,1614
person:811,1321,455,3085,544,3324,3551,2789,0,1045,1986,1579,3079,1396
handbag:838,315,590,2053,508,2295,2525,1766,1045,0,1138,1118,2130,776
bird:870,838,1579,1341,1483,1542,1736,1041,1986,1138,0,718,1117,630
bird:873,961,1283,2059,1202,2257,2445,1759,1579,1118,718,0,1769,351
bird:877,1815,2651,673,2554,704,788,625,3079,2130,1117,1769,0,1747
bird:885,610,1034,1921,943,2139,2345,1614,1396,776,630,351,1747,0
