,person:377,person:566,person:587,person:641,person:648,person:652,person:658,person:673,person:675,bird:695,person:703,bird:707,bird:708,kite:712,bird:713,bird:714,bird:715,bird:716
person:377,0,539,610,367,2089,2883,455,701,237,2536,725,2456,1155,742,2146,1429,834,1329
person:566,539,0,71,901,2620,3414,981,166,303,2957,1260,2930,1497,453,2633,1902,1216,1754
person:587,610,71,0,972,2691,3485,1052,97,373,3019,1331,2997,1554,458,2701,1970,1279,1818
person:641,367,901,972,0,1721,2515,95,1065,603,2221,359,2109,943,1015,1793,1092,621,1033
person:648,2089,2620,2691,1721,0,794,1638,2785,2324,1303,1364,862,1588,2636,623,934,1615,1218
person:652,2883,3414,3485,2515,794,0,2433,3580,3119,1500,2158,1031,2304,3420,1051,1656,2378,1924
person:658,455,981,1052,95,1638,2433,0,1147,687,2127,286,2014,868,1064,1698,996,553,941
person:673,701,166,97,1065,2785,3580,1147,0,464,3115,1424,3095,1648,508,2798,2067,1375,1915
person:675,237,303,373,603,2324,3119,687,464,0,2726,961,2669,1301,585,2364,1640,996,1517
bird:695,2536,2957,3019,2221,1303,1500,2127,3115,2726,0,1969,485,1481,2766,689,1144,1740,1209
person:703,725,1260,1331,359,1364,2158,286,1424,961,1969,0,1805,899,1347,1480,825,637,850
bird:707,2456,2930,2997,2109,862,1031,2014,3095,2669,485,1805,0,1551,2811,332,1029,1740,1202
bird:708,1155,1497,1554,943,1588,2304,868,1648,1301,1481,899,1551,0,1285,1317,655,325,380
kite:712,742,453,458,1015,2636,3420,1064,508,585,2766,1347,2811,1285,0,2542,1812,1074,1608
bird:713,2146,2633,2701,1793,623,1051,1698,2798,2364,689,1480,332,1317,2542,0,733,1467,947
bird:714,1429,1902,1970,1092,934,1656,996,2067,1640,1144,825,1029,655,1812,733,0,740,285
bird:715,834,1216,1279,621,1615,2378,553,1375,996,1740,637,1740,325,1074,1467,740,0,542
bird:716,1329,1754,1818,1033,1218,1924,941,1915,1517,1209,850,1202,380,1608,947,285,542,0
