,person:2,person:3,person:5,person:119,backpack:137,handbag:363,person:370,person:377,bird:443,bird:453,bird:459,bird:460,bird:383
person:2,0,1645,471,2524,1690,121,846,2765,2841,1655,847,754,1232
person:3,1645,0,1174,878,127,1602,2489,1121,1445,722,1543,1993,2328
person:5,471,1174,0,2053,1221,437,1316,2294,2408,1244,798,993,1441
person:119,2524,878,2053,0,843,2480,3368,246,1074,1258,2349,2834,3125
backpack:137,1690,127,1221,843,0,1655,2537,1078,1509,849,1642,2077,2426
handbag:363,121,1602,437,2480,1655,0,889,2723,2757,1566,725,664,1141
person:370,846,2489,1316,3368,2537,889,0,3610,3611,2417,1350,892,1186
person:377,2765,1121,2294,246,1078,2723,3610,0,1131,1490,2595,3081,3369
bird:443,2841,1445,2408,1074,1509,2757,3611,1131,0,1193,2338,2870,3006
bird:453,1655,722,1244,1258,849,1566,2417,1490,1193,0,1182,1708,1918
bird:459,847,1543,798,2349,1642,725,1350,2595,2338,1182,0,531,784
bird:460,754,1993,993,2834,2077,664,892,3081,2870,1708,531,0,478
bird:383,1232,2328,1441,3125,2426,1141,1186,3369,3006,1918,784,478,0
