,person:1,person:2,person:3,person:4,person:5,person:9,person:66,person:119,backpack:137,bird:201,bird:195,person:251,bird:260,bird:261,bird:262,bird:263
person:1,0,902,2478,1573,1342,2217,2785,3392,2623,2116,1082,1223,1294,800,2846,3304
person:2,902,0,1582,673,443,1322,1891,2498,1723,1420,1238,490,834,1225,2027,2465
person:3,2478,1582,0,909,1139,261,309,916,174,1085,2368,1336,1594,2560,804,1061
person:4,1573,673,909,0,231,651,1219,1825,1049,1051,1649,556,958,1759,1438,1845
person:5,1342,443,1139,231,0,879,1448,2055,1281,1130,1472,410,841,1553,1623,2046
person:9,2217,1322,261,651,879,0,568,1175,419,961,2129,1081,1361,2309,913,1249
person:66,2785,1891,309,1219,1448,568,0,607,216,1245,2632,1628,1856,2842,720,841
person:119,3392,2498,916,1825,2055,1175,607,0,789,1711,3192,2224,2420,3423,944,713
backpack:137,2623,1723,174,1049,1281,419,216,789,0,1247,2540,1500,1767,2728,868,1048
bird:201,2116,1420,1085,1051,1130,961,1245,1711,1247,0,1563,941,860,1862,853,1319
bird:195,1082,1238,2368,1649,1472,2129,2632,3192,2540,1563,0,1095,776,374,2413,2882
person:251,1223,490,1336,556,410,1081,1628,2224,1500,941,1095,0,432,1232,1623,2082
bird:260,1294,834,1594,958,841,1361,1856,2420,1767,860,776,432,0,1020,1678,2150
bird:261,800,1225,2560,1759,1553,2309,2842,3423,2728,1862,374,1232,1020,0,2697,3168
bird:262,2846,2027,804,1438,1623,913,720,944,868,853,2413,1623,1678,2697,0,471
bird:263,3304,2465,1061,1845,2046,1249,841,713,1048,1319,2882,2082,2150,3168,471,0
