,person:1,person:2,person:3,person:4,person:5,person:9,person:66,bird:71,person:73,bird:45,handbag:84,bird:86,bird:88
person:1,0,862,2628,1946,1323,2280,3107,3167,3409,866,1427,1588,1222
person:2,862,0,1771,1096,463,1425,2249,2387,2554,1406,583,1119,864
person:3,2628,1771,0,688,1307,349,478,1010,785,2963,1205,1688,1872
person:4,1946,1096,688,0,638,338,1165,1374,1462,2287,519,1132,1236
person:5,1323,463,1307,638,0,962,1785,1970,2091,1778,164,1037,934
person:9,2280,1425,349,338,962,0,827,1165,1129,2620,856,1395,1547
person:66,3107,2249,478,1165,1785,827,0,934,319,3425,1683,2098,2316
bird:71,3167,2387,1010,1374,1970,1165,934,0,905,3242,1818,1776,2101
person:73,3409,2554,785,1462,2091,1129,319,905,0,3693,1982,2325,2569
bird:45,866,1406,2963,2287,1778,2620,3425,3242,3693,0,1809,1471,1145
handbag:84,1427,583,1205,519,164,856,1683,1818,1982,1809,0,923,873
bird:86,1588,1119,1688,1132,1037,1395,2098,1776,2325,1471,923,0,370
bird:88,1222,864,1872,1236,934,1547,2316,2101,2569,1145,873,370,0
