,person:3,person:119,person:377,person:566,person:583,person:587,person:596,bird:537,person:641,bird:643,person:648,bird:651,person:652
person:3,0,2539,2990,3371,2847,3466,1672,1896,1011,2010,695,1360,229
person:119,2539,0,451,834,307,933,873,1647,1529,978,1862,1854,2375
person:377,2990,451,0,397,145,502,1320,1999,1979,1345,2309,2267,2822
person:566,3371,834,397,0,530,107,1707,2247,2362,1627,2696,2573,3209
person:583,2847,307,145,530,0,632,1178,1872,1836,1214,2168,2127,2681
person:587,3466,933,502,107,632,0,1805,2302,2459,1694,2794,2644,3306
person:596,1672,873,1320,1707,1178,1805,0,1327,660,824,989,1264,1502
bird:537,1896,1647,1999,2247,1872,2302,1327,0,1340,669,1563,553,1882
person:641,1011,1529,1979,2362,1836,2459,660,1340,0,1151,342,1006,849
bird:643,2010,978,1345,1627,1214,1694,824,669,1151,0,1469,952,1919
person:648,695,1862,2309,2696,2168,2794,989,1563,342,1469,0,1135,513
bird:651,1360,1854,2267,2573,2127,2644,1264,553,1006,952,1135,0,1370
person:652,229,2375,2822,3209,2681,3306,1502,1882,849,1919,513,1370,0
