,person:119,person:377,person:566,person:587,person:641,person:648,person:652,backpack:658,person:673,person:675,bird:695,person:703
person:119,0,371,894,984,165,1738,2510,297,1085,617,1810,415
person:377,371,0,533,624,534,2107,2877,660,715,253,2132,780
person:566,894,533,0,90,1059,2632,3404,1163,226,279,2537,1308
person:587,984,624,90,0,1149,2722,3493,1251,173,370,2609,1398
person:641,165,534,1059,1149,0,1573,2344,174,1249,782,1696,249
person:648,1738,2107,2632,2722,1573,0,771,1479,2822,2356,1248,1326
person:652,2510,2877,3404,3493,2344,771,0,2249,3592,3127,1666,2096
backpack:658,297,660,1163,1251,174,1479,2249,0,1366,895,1524,228
person:673,1085,715,226,173,1249,2822,3592,1366,0,470,2762,1495
person:675,617,253,279,370,782,2356,3127,895,470,0,2318,1031
bird:695,1810,2132,2537,2609,1696,1248,1666,1524,2762,2318,0,1556
person:703,415,780,1308,1398,249,1326,2096,228,1495,1031,1556,0
