,person:3,person:119,person:377,person:468,person:566,person:583,person:587,person:596,bird:554,bird:537
person:3,0,2205,2658,483,2988,2474,3077,1281,2457,2047
person:119,2205,0,453,2684,785,269,879,929,1492,1377
person:377,2658,453,0,3136,347,189,448,1379,1659,1648
person:468,483,2684,3136,0,3468,2953,3558,1757,2892,2481
person:566,2988,785,347,3468,0,516,104,1715,1732,1799
person:583,2474,269,189,2953,516,0,611,1199,1546,1500
person:587,3077,879,448,3558,104,611,0,1808,1741,1831
person:596,1281,929,1379,1757,1715,1199,1808,0,1701,1374
bird:554,2457,1492,1659,2892,1732,1546,1741,1701,0,410
bird:537,2047,1377,1648,2481,1799,1500,1831,1374,410,0
