,person:2,person:3,person:5,person:119,handbag:137,person:377,person:468,bird:524,bird:514,bird:492
person:2,0,1380,384,2479,1717,2756,679,2141,2456,1005
person:3,1380,0,995,1101,370,1379,701,962,1276,1923
person:5,384,995,0,2094,1335,2371,295,1785,2104,1176
person:119,2479,1101,2094,0,774,282,1802,922,992,2952
handbag:137,1717,370,1335,774,0,1042,1048,943,1213,2294
person:377,2756,1379,2371,282,1042,0,2080,1139,1143,3233
person:468,679,701,295,1802,1048,2080,0,1509,1831,1347
bird:524,2141,962,1785,922,943,1139,1509,0,322,2313
bird:514,2456,1276,2104,992,1213,1143,1831,322,0,2572
bird:492,1005,1923,1176,2952,2294,3233,1347,2313,2572,0
