,person:119,person:377,person:566,person:587,person:641,person:648,person:652,backpack:658,person:667,bird:672,person:673,person:675,bird:679,bird:684
person:119,0,429,922,1021,613,1723,2411,736,1961,1457,1125,639,1931,705
person:377,429,0,505,609,1038,2147,2835,1165,2383,1838,709,217,2343,1017
person:566,922,505,0,107,1536,2646,3334,1655,2884,2239,203,288,2782,1385
person:587,1021,609,107,0,1634,2744,3432,1750,2983,2311,106,392,2861,1454
person:641,613,1038,1536,1634,0,1110,1798,160,1348,1073,1738,1251,1420,708
person:648,1723,2147,2646,2744,1110,0,688,1000,243,1135,2848,2361,901,1552
person:652,2411,2835,3334,3432,1798,688,0,1684,456,1605,3537,3050,1127,2192
backpack:658,736,1165,1655,1750,160,1000,1684,0,1242,924,1856,1374,1261,676
person:667,1961,2383,2884,2983,1348,243,456,1242,0,1319,3087,2598,985,1790
bird:672,1457,1838,2239,2311,1073,1135,1605,924,1319,0,2415,2005,606,856
person:673,1125,709,203,106,1738,2848,3537,1856,3087,2415,0,491,2967,1559
person:675,639,217,288,392,1251,2361,3050,1374,2598,2005,491,0,2529,1163
bird:679,1931,2343,2782,2861,1420,901,1127,1261,985,606,2967,2529,0,1426
bird:684,705,1017,1385,1454,708,1552,2192,676,1790,856,1559,1163,1426,0
