,person:566,person:641,person:648,person:652,person:658,person:673,person:675,person:703,handbag:723,backpack:119,bird:733,bird:747,bird:749,bird:708,bird:720,bird:753,bird:756,bird:757
person:566,0,487,2518,3356,959,144,283,1144,3344,552,2255,2850,3684,2448,3614,1333,2831,1927
person:641,487,0,2035,2874,475,631,207,657,2862,150,1810,2397,3287,2037,3174,1002,2366,1532
person:648,2518,2035,0,838,1560,2663,2242,1382,826,1971,635,670,1787,940,1391,1544,498,1087
person:652,3356,2874,838,0,2399,3500,3081,2221,14,2808,1271,813,1559,1388,982,2312,666,1758
person:658,959,475,1560,2399,0,1104,682,191,2386,426,1363,1939,2875,1623,2724,759,1898,1151
person:673,144,631,2663,3500,1104,0,426,1289,3488,696,2395,2991,3814,2582,3752,1458,2974,2059
person:675,283,207,2242,3081,682,426,0,864,3069,304,2007,2597,3468,2221,3370,1149,2569,1709
person:703,1144,657,1382,2221,191,1289,864,0,2208,617,1233,1794,2766,1521,2584,800,1740,1083
handbag:723,3344,2862,826,14,2386,3488,3069,2208,0,2796,1263,810,1567,1383,992,2303,661,1751
backpack:119,552,150,1971,2808,426,696,304,617,2796,0,1707,2300,3164,1917,3069,858,2279,1405
bird:733,2255,1810,635,1271,1363,2395,2007,1233,1263,1707,0,598,1546,374,1363,1061,627,489
bird:747,2850,2397,670,813,1939,2991,2597,1794,810,2300,598,0,1119,587,793,1646,206,1034
bird:749,3684,3287,1787,1559,2875,3814,3468,2766,1567,3164,1546,1119,0,1252,601,2360,1296,1759
bird:708,2448,2037,940,1388,1623,2582,2221,1521,1383,1917,374,587,1252,0,1199,1155,726,527
bird:720,3614,3174,1391,982,2724,3752,3370,2584,992,3069,1363,793,601,1199,0,2351,900,1722
bird:753,1333,1002,1544,2312,759,1458,1149,800,2303,858,1061,1646,2360,1155,2351,0,1687,629
bird:756,2831,2366,498,666,1898,2974,2569,1740,661,2279,627,206,1296,726,900,1687,0,1104
bird:757,1927,1532,1087,1758,1151,2059,1709,1083,1751,1405,489,1034,1759,527,1722,629,1104,0
