,person:1,person:2,person:3,person:5,person:9,person:66,person:119,backpack:137,person:4,bird:351,bird:298
person:1,0,844,2471,1321,2209,2749,3418,2653,1565,3133,2338
person:2,844,0,1627,478,1364,1905,2574,1809,722,2341,1658
person:3,2471,1627,0,1151,262,278,948,216,910,1053,1217
person:5,1321,478,1151,0,890,1429,2099,1331,244,1933,1390
person:9,2209,1364,262,890,0,540,1209,461,651,1197,1139
person:66,2749,1905,278,1429,540,0,670,160,1188,942,1337
person:119,3418,2574,948,2099,1209,670,0,787,1858,954,1750
backpack:137,2653,1809,216,1331,461,160,787,0,1087,1091,1400
person:4,1565,722,910,244,651,1188,1858,1087,0,1741,1304
bird:351,3133,2341,1053,1933,1197,942,954,1091,1741,0,981
bird:298,2338,1658,1217,1390,1139,1337,1750,1400,1304,981,0
