,person:2,person:3,person:5,person:119,handbag:137,handbag:363,person:370,person:377,person:468,bird:492,bird:474,bird:470,bird:496
person:2,0,1599,467,2523,1818,179,749,2801,1063,1389,1015,1452,1004
person:3,1599,0,1132,923,258,1490,2349,1203,536,916,1724,2210,1113
person:5,467,1132,0,2056,1353,376,1217,2334,595,1039,1032,1545,738
person:119,2523,923,2056,0,720,2412,3273,283,1460,1609,2546,2984,1935
handbag:137,1818,258,1353,720,0,1719,2567,989,763,1156,1983,2468,1372
handbag:363,179,1490,376,2412,1719,0,873,2693,957,1216,863,1327,825
person:370,749,2349,1217,3273,2567,873,0,3551,1812,2040,1354,1581,1621
person:377,2801,1203,2334,283,989,2693,3551,0,1739,1880,2825,3256,2215
person:468,1063,536,595,1460,763,957,1812,1739,0,797,1324,1840,770
bird:492,1389,916,1039,1609,1156,1216,2040,1880,797,0,969,1376,425
bird:474,1015,1724,1032,2546,1983,863,1354,2825,1324,969,0,523,615
bird:470,1452,2210,1545,2984,2468,1327,1581,3256,1840,1376,523,0,1099
bird:496,1004,1113,738,1935,1372,825,1621,2215,770,425,615,1099,0
