,car:1,motorcycle:2,person:3,car:4,person:5,motorcycle:6
car:1,0,705,677,256,324,336
motorcycle:2,705,0,193,957,404,369
person:3,677,193,0,933,352,372
car:4,256,957,933,0,580,588
person:5,324,404,352,580,0,105
motorcycle:6,336,369,372,588,105,0
