,person:3,person:119,person:377,person:468,person:566,person:583,person:587,person:596,bird:554,bird:537,bird:625,bird:615
person:3,0,2007,2438,626,2758,2229,2862,1046,2381,1952,1460,1134
person:119,2007,0,432,2631,753,222,861,967,1356,1205,2961,2890
person:377,2438,432,0,3061,336,212,451,1395,1473,1443,3367,3314
person:468,626,2631,3061,0,3383,2854,3488,1667,2943,2514,1366,912
person:566,2758,753,336,3383,0,531,116,1720,1516,1578,3625,3599
person:583,2229,222,212,2854,531,0,641,1189,1379,1296,3160,3103
person:587,2862,861,451,3488,116,641,0,1827,1527,1620,3704,3688
person:596,1046,967,1395,1667,1720,1189,1827,0,1701,1328,2187,2023
bird:554,2381,1356,1473,2943,1516,1379,1527,1701,0,429,2608,2763
bird:537,1952,1205,1443,2514,1578,1296,1620,1328,429,0,2247,2366
bird:625,1460,2961,3367,1366,3625,3160,3704,2187,2608,2247,0,475
bird:615,1134,2890,3314,912,3599,3103,3688,2023,2763,2366,475,0
