,person:648,person:652,person:703,handbag:723,person:778,person:675,bird:791,bird:798,bird:799,person:803,person:811,bird:808,bird:820
person:648,0,877,1693,794,1985,2213,1219,1482,872,1482,1215,1038,1236
person:652,877,0,2569,84,2862,3090,1253,939,1386,2359,342,1765,2031
person:703,1693,2569,0,2488,296,526,2415,3034,1727,228,2908,1264,978
handbag:723,794,84,2488,0,2780,3008,1207,955,1311,2277,421,1684,1948
person:778,1985,2862,296,2780,0,230,2655,3303,1966,506,3200,1481,1171
person:675,2213,3090,526,3008,230,0,2849,3515,2161,731,3427,1666,1346
bird:791,1219,1253,2415,1207,2655,2849,0,840,689,2188,1365,1187,1515
bird:798,1482,939,3034,955,3303,3515,840,0,1412,2806,822,1916,2241
bird:799,872,1386,1727,1311,1966,2161,689,1412,0,1501,1634,508,837
person:803,1482,2359,228,2277,506,731,2188,2806,1501,0,2696,1046,776
person:811,1215,342,2908,421,3200,3427,1365,822,1634,2696,0,2052,2334
bird:808,1038,1765,1264,1684,1481,1666,1187,1916,508,1046,2052,0,329
bird:820,1236,2031,978,1948,1171,1346,1515,2241,837,776,2334,329,0
