,person:3,person:119,person:377,person:468,person:566,person:583,person:587,person:596,bird:554,bird:537,person:641,bird:643
person:3,0,2280,2729,454,3068,2573,3165,1364,2454,2035,450,2052
person:119,2280,0,450,2729,791,293,891,922,1518,1390,1831,754
person:377,2729,450,0,3179,355,162,462,1368,1705,1678,2280,1062
person:468,454,2729,3179,0,3516,3022,3611,1816,2786,2372,903,2461
person:566,3068,791,355,3516,0,499,109,1713,1798,1849,2621,1280
person:583,2573,293,162,3022,499,0,601,1215,1601,1545,2124,920
person:587,3165,891,462,3611,109,601,0,1813,1817,1891,2718,1340
person:596,1364,922,1368,1816,1713,1215,1813,0,1677,1338,914,952
bird:554,2454,1518,1705,2786,1798,1601,1817,1677,0,418,2138,810
bird:537,2035,1390,1678,2372,1849,1545,1891,1338,418,0,1724,636
person:641,450,1831,2280,903,2621,2124,2718,914,2138,1724,0,1649
bird:643,2052,754,1062,2461,1280,920,1340,952,810,636,1649,0
