,person:1,person:2,person:3,person:4,person:5,person:9,person:66,person:73,bird:88,bird:79,bird:113
person:1,0,873,2568,1923,1394,2238,3002,3418,932,1257,473
person:2,873,0,1699,1060,523,1370,2133,2553,1189,683,687
person:3,2568,1699,0,648,1176,329,434,855,2534,1546,2269
person:4,1923,1060,648,0,540,323,1081,1494,1919,941,1622
person:5,1394,523,1176,540,0,846,1609,2029,1532,669,1140
person:9,2238,1370,329,323,846,0,763,1184,2234,1250,1946
person:66,3002,2133,434,1081,1609,763,0,430,2945,1959,2700
person:73,3418,2553,855,1494,2029,1184,430,0,3311,2333,3100
bird:88,932,1189,2534,1919,1532,2234,2945,3311,0,987,579
bird:79,1257,683,1546,941,669,1250,1959,2333,987,0,829
bird:113,473,687,2269,1622,1140,1946,2700,3100,579,829,0
