,person:2,person:3,handbag:5,person:119,person:377,person:468,bird:555,bird:563,person:566,bird:554,bird:514,bird:537
person:2,0,1110,399,2438,2749,480,2381,1071,3067,2837,1982,2599
person:3,1110,0,749,1331,1646,631,1433,1100,1959,1793,1105,1546
handbag:5,399,749,0,2059,2367,197,2112,1084,2690,2526,1734,2282
person:119,2438,1331,2059,0,317,1962,1127,2193,631,962,1224,788
person:377,2749,1646,2367,317,0,2275,1309,2502,338,1001,1476,897
person:468,480,631,197,1962,2275,0,1938,907,2590,2370,1552,2130
bird:555,2381,1433,2112,1127,1309,1938,0,1657,1404,578,413,461
bird:563,1071,1100,1084,2193,2502,907,1657,0,2757,2212,1249,2016
person:566,3067,1959,2690,631,338,2590,1404,2757,0,967,1647,949
bird:554,2837,1793,2526,962,1001,2370,578,2212,967,0,964,248
bird:514,1982,1105,1734,1224,1476,1552,413,1249,1647,964,0,786
bird:537,2599,1546,2282,788,897,2130,461,2016,949,248,786,0
