,person:1,person:2,person:3,person:4,person:5,person:9,person:66,person:119,backpack:137,person:164,bird:125,bird:97,bird:195,bird:201,bird:161
person:1,0,917,2499,1612,1360,2221,2796,3361,2629,2635,1282,1117,1867,2500,2165
person:2,917,0,1586,694,445,1310,1883,2451,1713,1761,982,1511,1225,1690,1390
person:3,2499,1586,0,898,1140,278,297,864,153,451,1830,2747,1270,768,884
person:4,1612,694,898,0,257,627,1194,1763,1020,1135,1238,2035,1038,1169,964
person:5,1360,445,1140,257,0,864,1438,2005,1269,1332,1056,1800,1007,1305,1045
person:9,2221,1310,278,627,864,0,575,1141,418,567,1586,2488,1085,761,758
person:66,2796,1883,297,1194,1438,575,0,568,190,477,2091,3019,1487,860,1067
person:119,3361,2451,864,1763,2005,1141,568,0,750,844,2587,3527,1929,1191,1489
backpack:137,2629,1713,153,1020,1269,418,190,750,0,525,1984,2899,1420,878,1025
person:164,2635,1761,451,1135,1332,567,477,844,525,0,1752,2694,1085,385,645
bird:125,1282,982,1830,1238,1056,1586,2091,2587,1984,1752,0,942,716,1481,1133
bird:97,1117,1511,2747,2035,1800,2488,3019,3527,2899,2694,942,0,1646,2419,2074
bird:195,1867,1225,1270,1038,1007,1085,1487,1929,1420,1085,716,1646,0,775,441
bird:201,2500,1690,768,1169,1305,761,860,1191,878,385,1481,2419,775,0,351
bird:161,2165,1390,884,964,1045,758,1067,1489,1025,645,1133,2074,441,351,0
