,person:648,person:652,person:703,handbag:723,person:778,person:803,person:811,person:897,handbag:838,person:909,bird:917,bird:923,bird:877
person:648,0,687,1738,584,1931,1467,1371,198,343,2105,981,1828,1160
person:652,687,0,2426,116,2618,2154,686,493,360,2793,1526,1394,985
person:703,1738,2426,0,2321,192,285,3110,1934,2074,374,1325,3341,2563
handbag:723,584,116,2321,0,2514,2048,788,395,276,2687,1410,1407,934
person:778,1931,2618,192,2514,0,470,3302,2126,2267,186,1481,3516,2736
person:803,1467,2154,285,2048,470,0,2836,1664,1806,638,1057,3057,2279
person:811,1371,686,3110,788,3302,2836,0,1179,1044,3475,2128,1154,1185
person:897,198,493,1934,395,2126,1664,1179,0,145,2302,1142,1712,1100
handbag:838,343,360,2074,276,2267,1806,1044,145,0,2443,1276,1653,1095
person:909,2105,2793,374,2687,186,638,3475,2302,2443,0,1604,3658,2877
bird:917,981,1526,1325,1410,1481,1057,2128,1142,1276,1604,0,2071,1293
bird:923,1828,1394,3341,1407,3516,3057,1154,1712,1653,3658,2071,0,780
bird:877,1160,985,2563,934,2736,2279,1185,1100,1095,2877,1293,780,0
