,person:119,person:377,person:566,person:587,person:596,person:641,person:648,person:652,backpack:658,person:667,bird:672,person:673,bird:537,person:675
person:119,0,426,889,988,608,744,1748,2435,909,1986,1204,1091,2889,619
person:377,426,0,477,583,1026,1166,2169,2856,1335,2405,1574,676,3296,202
person:566,889,477,0,109,1496,1633,2638,3324,1795,2875,1934,202,3686,274
person:587,988,583,109,0,1597,1732,2736,3422,1891,2975,2002,117,3759,380
person:596,608,1026,1496,1597,0,144,1142,1829,330,1379,934,1698,2410,1225
person:641,744,1166,1633,1732,144,0,1004,1691,188,1242,864,1835,2274,1362
person:648,1748,2169,2638,2736,1142,1004,0,686,850,241,1244,2840,1623,2367
person:652,2435,2856,3324,3422,1829,1691,686,0,1533,453,1798,3526,1422,3053
backpack:658,909,1335,1795,1891,330,188,850,1533,0,1091,760,1998,2087,1528
person:667,1986,2405,2875,2975,1379,1242,241,453,1091,0,1454,3077,1569,2604
bird:672,1204,1574,1934,2002,934,864,1244,1798,760,1454,0,2119,1759,1717
person:673,1091,676,202,117,1698,1835,2840,3526,1998,3077,2119,0,3875,474
bird:537,2889,3296,3686,3759,2410,2274,1623,1422,2087,1569,1759,3875,0,3456
person:675,619,202,274,380,1225,1362,2367,3053,1528,2604,1717,474,3456,0
