,person:2,person:3,person:5,person:119,handbag:137,person:377,person:468,bird:474,bird:496,bird:470,bird:522,bird:514
person:2,0,1473,478,2507,1755,2812,896,1223,845,1491,1993,2654
person:3,1473,0,994,1035,335,1342,576,2401,1595,2456,814,1329
person:5,478,994,0,2029,1281,2334,418,1552,914,1729,1557,2204
person:119,2507,1035,2029,0,777,310,1611,3384,2550,3381,1000,854
handbag:137,1755,335,1281,777,0,1069,870,2731,1930,2792,920,1274
person:377,2812,1342,2334,310,1069,0,1917,3693,2857,3684,1260,962
person:468,896,576,418,1611,870,1917,0,1891,1145,2006,1200,1820
bird:474,1223,2401,1552,3384,2731,3693,1891,0,843,421,2588,3247
bird:496,845,1595,914,2550,1930,2857,1145,843,0,865,1749,2413
bird:470,1491,2456,1729,3381,2792,3684,2006,421,865,0,2507,3139
bird:522,1993,814,1557,1000,920,1260,1200,2588,1749,2507,0,674
bird:514,2654,1329,2204,854,1274,962,1820,3247,2413,3139,674,0
