,person:1,person:2,person:3,person:4,person:5,person:9,person:66,person:119,backpack:137,person:164,bird:125,bird:97,bird:195,bird:207
person:1,0,918,2491,1607,1350,2218,2794,3363,2621,2626,1196,1198,1772,770
person:2,918,0,1577,689,434,1305,1880,2452,1704,1750,959,1659,1160,1099
person:3,2491,1577,0,896,1143,273,303,874,154,450,1899,2909,1343,2425
person:4,1607,689,896,0,262,629,1198,1770,1017,1133,1276,2197,1043,1662
person:5,1350,434,1143,262,0,871,1446,2017,1271,1333,1077,1955,985,1412
person:9,2218,1305,273,629,871,0,576,1146,414,562,1653,2654,1145,2161
person:66,2794,1880,303,1198,1446,576,0,572,197,478,2169,3185,1572,2713
person:119,3363,2452,874,1770,2017,1146,572,0,760,853,2676,3697,2031,3248
backpack:137,2621,1704,154,1017,1271,414,197,760,0,525,2052,3061,1495,2574
person:164,2626,1750,450,1133,1333,562,478,853,525,0,1834,2853,1177,2424
bird:125,1196,959,1899,1276,1077,1653,2169,2676,2052,1834,0,1020,706,638
bird:97,1198,1659,2909,2197,1955,2654,3185,3697,3061,2853,1020,0,1699,560
bird:195,1772,1160,1343,1043,985,1145,1572,2031,1495,1177,706,1699,0,1341
bird:207,770,1099,2425,1662,1412,2161,2713,3248,2574,2424,638,560,1341,0
