,person:648,person:652,person:703,handbag:723,person:778,person:675,person:803,person:811,bird:820,person:838,bird:808,bird:845
person:648,0,875,1755,801,1994,2219,1443,1334,1535,271,1910,1150
person:652,875,0,2631,78,2869,3094,2318,462,1056,604,1344,1852
person:703,1755,2631,0,2557,239,470,324,3090,3094,2027,3477,1344
handbag:723,801,78,2557,0,2795,3019,2244,533,1055,529,1360,1776
person:778,1994,2869,239,2795,0,231,554,3328,3311,2265,3693,1515
person:675,2219,3094,470,3019,231,0,775,3552,3510,2490,3889,1675
person:803,1443,2318,324,2244,554,775,0,2776,2770,1714,3153,1064
person:811,1334,462,3090,533,3328,3552,2776,0,973,1063,1141,2244
bird:820,1535,1056,3094,1055,3311,3510,2770,973,0,1341,385,1920
person:838,271,604,2027,529,2265,2490,1714,1063,1341,0,1704,1344
bird:808,1910,1344,3477,1360,3693,3889,3153,1141,385,1704,0,2281
bird:845,1150,1852,1344,1776,1515,1675,1064,2244,1920,1344,2281,0
