,person:566,person:641,person:648,person:652,person:658,person:673,person:675,person:703,handbag:723,backpack:119,bird:733,bird:736,bird:742,bird:745,bird:746,bird:747,bird:708
person:566,0,606,2556,3365,963,167,297,1167,3374,673,1947,1711,2122,2591,1362,2701,2154
person:641,606,0,1952,2761,359,771,309,560,2770,139,1395,1226,1581,2049,857,2127,1654
person:648,2556,1952,0,808,1594,2723,2262,1395,817,1888,869,1261,860,849,1378,570,1096
person:652,3365,2761,808,0,2402,3531,3070,2203,13,2696,1579,1964,1498,1230,2148,905,1673
person:658,963,359,1594,2402,0,1129,668,213,2411,307,1063,956,1255,1718,595,1777,1357
person:673,167,771,2723,3531,1129,0,461,1331,3540,841,2113,1870,2287,2756,1525,2869,2314
person:675,297,309,2262,3070,668,461,0,870,3079,391,1677,1470,1858,2328,1109,2423,1909
person:703,1167,560,1395,2203,213,1331,870,0,2212,521,944,915,1138,1589,591,1616,1274
handbag:723,3374,2770,817,13,2411,3540,3079,2212,0,2705,1591,1976,1511,1244,2159,918,1686
backpack:119,673,139,1888,2696,307,841,391,521,2705,0,1287,1098,1469,1939,730,2032,1530
bird:733,1947,1395,869,1579,1063,2113,1677,944,1591,1287,0,393,194,655,603,770,386
bird:736,1711,1226,1261,1964,956,1870,1470,915,1976,1098,393,0,480,916,370,1117,444
bird:742,2122,1581,860,1498,1255,2287,1858,1138,1511,1469,194,480,0,470,764,636,253
bird:745,2591,2049,849,1230,1718,2756,2328,1589,1244,1939,655,916,470,0,1231,338,504
bird:746,1362,857,1378,2148,595,1525,1109,591,2159,730,603,370,764,1231,0,1374,800
bird:747,2701,2127,570,905,1777,2869,2423,1616,918,2032,770,1117,636,338,1374,0,774
bird:708,2154,1654,1096,1673,1357,2314,1909,1274,1686,1530,386,444,253,504,800,774,0
