,person:648,person:652,person:703,handbag:723,person:778,person:675,bird:791,bird:799,person:803,person:811,bird:808,bird:820,bird:822
person:648,0,888,1681,805,1976,2209,1295,858,1472,1229,986,1183,660
person:652,888,0,2570,86,2865,3098,1233,1298,2360,346,1692,1975,1386
person:703,1681,2570,0,2486,297,532,2539,1838,225,2910,1349,1039,1420
handbag:723,805,86,2486,0,2782,3014,1191,1222,2276,425,1608,1890,1301
person:778,1976,2865,297,2782,0,235,2788,2087,507,3205,1578,1245,1683
person:675,2209,3098,532,3014,235,0,2988,2289,738,3437,1769,1427,1896
bird:791,1295,1233,2539,1191,2788,2988,0,701,2316,1305,1223,1574,1129
bird:799,858,1298,1838,1222,2087,2289,701,0,1615,1529,537,890,443
person:803,1472,2360,225,2276,507,738,2316,1615,0,2699,1134,839,1194
person:811,1229,346,2910,425,3205,3437,1305,1529,2699,0,1971,2274,1681
bird:808,986,1692,1349,1608,1578,1769,1223,537,1134,1971,0,353,328
bird:820,1183,1975,1039,1890,1245,1427,1574,890,839,2274,353,0,592
bird:822,660,1386,1420,1301,1683,1896,1129,443,1194,1681,328,592,0
