,person:1,person:2,person:3,person:5,person:119,backpack:137,bird:298,handbag:363,bird:365,person:370,person:377,bird:423,bird:429,bird:409,bird:387
person:1,0,843,2484,1342,3397,2605,1404,909,1152,196,3602,1559,1212,926,1454
person:2,843,0,1645,501,2558,1762,1577,148,1502,648,2762,884,995,624,1082
person:3,2484,1645,0,1144,913,184,2639,1577,2764,2287,1118,1174,1929,1818,1721
person:5,1342,501,1144,0,2057,1263,1809,446,1822,1145,2261,622,1116,838,1067
person:119,3397,2558,913,2057,0,810,3447,2490,3612,3201,209,2021,2764,2702,2522
backpack:137,2605,1762,184,1263,810,0,2814,1705,2931,2409,1006,1347,2102,1975,1900
bird:298,1404,1577,2639,1809,3447,2814,0,1485,352,1383,3652,1467,719,983,925
handbag:363,909,148,1577,446,2490,1705,1485,0,1439,713,2696,743,870,510,939
bird:365,1152,1502,2764,1822,3612,2931,352,1439,0,1173,3820,1595,849,987,1112
person:370,196,648,2287,1145,3201,2409,1383,713,1173,0,3406,1377,1093,775,1315
person:377,3602,2762,1118,2261,209,1006,3652,2696,3820,3406,0,2230,2972,2911,2729
bird:423,1559,884,1174,622,2021,1347,1467,743,1595,1377,2230,0,755,704,568
bird:429,1212,995,1929,1116,2764,2102,719,870,849,1093,2972,755,0,377,289
bird:409,926,624,1818,838,2702,1975,983,510,987,775,2911,704,377,0,544
bird:387,1454,1082,1721,1067,2522,1900,925,939,1112,1315,2729,568,289,544,0
