,person:1,person:2,person:3,person:4,person:5,person:9,person:66,person:73,person:119,handbag:137,bird:151,bird:79,bird:97
person:1,0,871,2479,1810,1443,2194,2943,3393,3220,2654,2716,666,1809
person:2,871,0,1613,950,573,1327,2076,2535,2356,1784,1924,1096,1145
person:3,2479,1613,0,670,1039,286,463,932,744,196,735,2509,1142
person:4,1810,950,670,0,384,390,1134,1585,1409,853,1054,1856,746
person:5,1443,573,1039,384,0,753,1502,1965,1783,1210,1415,1562,860
person:9,2194,1327,286,390,753,0,749,1217,1030,463,860,2243,973
person:66,2943,2076,463,1134,1502,749,0,497,288,303,798,2960,1521
person:73,3393,2535,932,1585,1965,1217,497,0,217,797,919,3356,1835
person:119,3220,2356,744,1409,1783,1030,288,217,0,592,881,3213,1728
handbag:137,2654,1784,196,853,1210,463,303,797,592,0,815,2700,1333
bird:151,2716,1924,735,1054,1415,860,798,919,881,815,0,2559,982
bird:79,666,1096,2509,1856,1562,2243,2960,3356,3213,2700,2559,0,1581
bird:97,1809,1145,1142,746,860,973,1521,1835,1728,1333,982,1581,0
