,person:3,person:119,person:377,person:468,bird:555,person:566,person:583,person:587,person:596,person:602,bird:554,person:578,bird:537,bird:625,bird:615
person:3,0,1573,2022,890,1428,2310,1801,2419,599,1078,2147,506,1766,1302,863
person:119,1573,0,449,2461,2234,740,228,852,982,2650,1247,2078,1061,2373,2202
person:377,2022,449,0,2908,2612,310,225,425,1428,3098,1289,2525,1235,2780,2639
person:468,890,2461,2908,0,1683,3200,2689,3309,1479,192,2958,383,2574,1377,867
bird:555,1428,2234,2612,1683,0,2796,2403,2872,1676,1751,1917,1519,1614,373,816
person:566,2310,740,310,3200,2796,0,512,114,1723,3388,1269,2816,1308,2993,2889
person:583,1801,228,225,2689,2403,512,0,624,1211,2879,1215,2306,1099,2562,2414
person:587,2419,852,425,3309,2872,114,624,0,1833,3497,1283,2925,1354,3077,2985
person:596,599,982,1428,1479,1676,1723,1211,1833,0,1670,1755,1098,1400,1674,1353
person:602,1078,2650,3098,192,1751,3388,2879,3497,1670,0,3117,572,2734,1421,940
bird:554,2147,1247,1289,2958,1917,1269,1215,1283,1755,3117,0,2603,384,2221,2338
person:578,506,2078,2525,383,1519,2816,2306,2925,1098,572,2603,0,2219,1274,748
bird:537,1766,1061,1235,2574,1614,1308,1099,1354,1400,2734,384,2219,0,1890,1970
bird:625,1302,2373,2780,1377,373,2993,2562,3077,1674,1421,2221,1274,1890,0,528
bird:615,863,2202,2639,867,816,2889,2414,2985,1353,940,2338,748,1970,528,0
