,person:1,person:2,person:3,person:5,person:9,person:66,person:119,backpack:137,bird:201,person:251,person:4,bird:298,bird:308,bird:272
person:1,0,852,2466,1315,2192,2759,3389,2639,1652,996,1587,2416,1677,1513
person:2,852,0,1615,462,1342,1908,2539,1787,1281,454,735,1699,1164,907
person:3,2466,1615,0,1154,275,293,924,197,1809,1612,885,1022,1529,1360
person:5,1315,462,1154,0,882,1447,2078,1324,1287,623,272,1376,1083,796
person:9,2192,1342,275,882,0,567,1196,461,1598,1342,617,964,1319,1124
person:66,2759,1908,293,1447,567,0,632,161,2031,1895,1178,1126,1753,1610
person:119,3389,2539,924,2078,1196,632,0,770,2532,2502,1810,1491,2264,2167
backpack:137,2639,1787,197,1324,461,161,770,0,2002,1804,1052,1169,1722,1557
bird:201,1652,1281,1809,1287,1598,2031,2532,2002,0,829,1378,1104,280,516
person:251,996,454,1612,623,1342,1895,2502,1804,829,0,841,1420,743,527
person:4,1587,735,885,272,617,1178,1810,1052,1378,841,0,1241,1138,863
bird:298,2416,1699,1022,1376,964,1126,1491,1169,1104,1420,1241,0,876,918
bird:308,1677,1164,1529,1083,1319,1753,2264,1722,280,743,1138,876,0,286
bird:272,1513,907,1360,796,1124,1610,2167,1557,516,527,863,918,286,0
