,person:648,person:652,person:703,handbag:723,person:778,person:675,person:803,person:811,person:897,handbag:838,person:909,bird:877,bird:917,bird:918,bird:921
person:648,0,793,1809,716,1975,2238,1471,1325,207,402,2090,901,1383,1736,1155
person:652,793,0,2602,92,2768,3031,2264,534,591,414,2883,1406,2132,1198,584
person:703,1809,2602,0,2525,168,436,349,3134,2011,2199,291,1719,824,3382,2892
handbag:723,716,92,2525,0,2691,2953,2185,608,520,356,2805,1313,2044,1198,577
person:778,1975,2768,168,2691,0,267,508,3300,2178,2366,125,1852,927,3532,3051
person:675,2238,3031,436,2953,267,0,767,3562,2442,2631,148,2069,1116,3770,3302
person:803,1471,2264,349,2185,508,767,0,2794,1675,1865,619,1387,567,3033,2543
person:811,1325,534,3134,608,3300,3562,2794,0,1126,948,3413,1828,2633,969,554
person:897,207,591,2011,520,2178,2442,1675,1126,0,195,2294,1032,1587,1607,1004
handbag:838,402,414,2199,356,2366,2631,1865,948,195,0,2483,1184,1781,1515,897
person:909,2090,2883,291,2805,125,148,619,3413,2294,2483,0,1932,988,3627,3155
bird:877,901,1406,1719,1313,1852,2069,1387,1828,1032,1184,1932,0,965,1741,1392
bird:917,1383,2132,824,2044,927,1116,567,2633,1587,1781,988,965,0,2697,2286
bird:918,1736,1198,3382,1198,3532,3770,3033,969,1607,1515,3627,1741,2697,0,622
bird:921,1155,584,2892,577,3051,3302,2543,554,1004,897,3155,1392,2286,622,0
