,person:377,person:566,person:587,person:641,person:648,person:652,backpack:658,person:673,person:675,bird:695,person:703,bird:707,bird:708
person:377,0,532,616,442,2101,2885,563,710,252,2282,769,2111,1048
person:566,532,0,83,967,2624,3410,1065,180,280,2686,1297,2566,1363
person:587,616,83,0,1051,2708,3494,1148,97,363,2757,1381,2643,1428
person:641,442,967,1051,0,1659,2444,164,1147,691,1914,330,1704,838
person:648,2101,2624,2708,1659,0,785,1564,2805,2350,1253,1333,839,1688
person:652,2885,3410,3494,2444,785,0,2350,3590,3135,1621,2116,1292,2423
backpack:658,563,1065,1148,164,1564,2350,0,1245,799,1753,285,1554,692
person:673,710,180,97,1147,2805,3590,1245,0,457,2851,1476,2740,1518
person:675,252,280,363,691,2350,3135,799,457,0,2473,1020,2327,1184
bird:695,2282,2686,2757,1914,1253,1621,1753,2851,2473,0,1710,416,1345
person:703,769,1297,1381,330,1333,2116,285,1476,1020,1710,0,1451,873
bird:707,2111,2566,2643,1704,839,1292,1554,2740,2327,416,1451,0,1310
bird:708,1048,1363,1428,838,1688,2423,692,1518,1184,1345,873,1310,0
