,person:648,person:652,person:703,handbag:723,person:778,person:675,person:803,person:811,bird:820,person:838,bird:808,bird:824
person:648,0,887,1753,801,1981,2211,1444,1331,1193,220,1530,1579
person:652,887,0,2640,87,2868,3099,2331,446,1079,667,1048,870
person:703,1753,2640,0,2554,231,465,321,3084,2585,1974,3089,3260
handbag:723,801,87,2554,0,2782,3012,2245,530,1043,581,1057,914
person:778,1981,2868,231,2782,0,234,540,3311,2780,2201,3293,3476
person:675,2211,3099,465,3012,234,0,767,3541,2980,2431,3501,3694
person:803,1444,2331,321,2245,540,767,0,2773,2267,1663,2768,2939
person:811,1331,446,3084,530,3311,3541,2773,0,1223,1110,970,629
bird:820,1193,1079,2585,1043,2780,2980,2267,1223,0,1080,555,903
person:838,220,667,1974,581,2201,2431,1663,1110,1080,0,1357,1373
bird:808,1530,1048,3089,1057,3293,3501,2768,970,555,1357,0,430
bird:824,1579,870,3260,914,3476,3694,2939,629,903,1373,430,0
