,person:1,person:2,person:3,person:4,person:5,person:9,person:66,person:119,backpack:137,person:164,bird:177,bird:125,bird:97,bird:195,bird:201
person:1,0,917,2497,1612,1364,2220,2799,3361,2641,2644,914,1291,1131,1907,2516
person:2,917,0,1584,695,450,1309,1887,2451,1725,1770,1108,949,1474,1248,1701
person:3,2497,1584,0,895,1134,277,302,867,164,447,2341,1772,2678,1225,753
person:4,1612,695,895,0,252,625,1197,1763,1032,1140,1615,1183,1979,1027,1172
person:5,1364,450,1134,252,0,859,1436,2001,1276,1336,1385,1011,1753,1013,1311
person:9,2220,1309,277,625,859,0,579,1142,430,571,2079,1529,2423,1048,755
person:66,2799,1887,302,1197,1436,579,0,566,181,467,2622,2038,2952,1441,840
person:119,3361,2451,867,1763,2001,1142,566,0,738,830,3139,2533,3455,1877,1167
backpack:137,2641,1725,164,1032,1276,430,181,738,0,515,2504,1937,2842,1383,862
person:164,2644,1770,447,1140,1336,571,467,830,515,0,2329,1712,2634,1047,376
bird:177,914,1108,2341,1615,1385,2079,2622,3139,2504,2329,0,635,369,1358,2086
bird:125,1291,949,1772,1183,1011,1529,2038,2533,1937,1712,635,0,921,723,1454
bird:97,1131,1474,2678,1979,1753,2423,2952,3455,2842,2634,369,921,0,1622,2364
bird:195,1907,1248,1225,1027,1013,1048,1441,1877,1383,1047,1358,723,1622,0,744
bird:201,2516,1701,753,1172,1311,755,840,1167,862,376,2086,1454,2364,744,0
