,person:1,person:2,person:3,person:4,person:5,person:9,person:66,kite:71,person:73,bird:45,bird:76
person:1,0,853,2769,2013,1324,2330,3144,3145,3405,1048,935
person:2,853,0,1919,1171,472,1483,2295,2377,2559,1124,663
person:3,2769,1919,0,763,1446,440,375,970,645,2546,2117
person:4,2013,1171,763,0,703,323,1136,1307,1392,1822,1369
person:5,1324,472,1446,703,0,1011,1822,1953,2087,1368,869
person:9,2330,1483,440,323,1011,0,814,1124,1075,2129,1686
person:66,3144,2295,375,1136,1822,814,0,948,283,2895,2479
kite:71,3145,2377,970,1307,1953,1124,948,0,913,2588,2296
person:73,3405,2559,645,1392,2087,1075,283,913,0,3107,2708
bird:45,1048,1124,2546,1822,1368,2129,2895,2588,3107,0,499
bird:76,935,663,2117,1369,869,1686,2479,2296,2708,499,0
