,person:566,person:641,person:648,person:652,person:658,person:673,person:675,person:703,handbag:723,backpack:119,bird:733,bird:747,bird:749,bird:708,bird:753,bird:757,bird:745
person:566,0,475,2507,3356,959,139,283,1141,3336,539,2311,2886,3650,2496,1363,1972,3080
person:641,475,0,2038,2888,488,611,195,667,2868,155,1880,2448,3271,2098,1038,1589,2663
person:648,2507,2038,0,849,1550,2646,2234,1375,830,1973,612,700,1789,938,1503,1051,1036
person:652,3356,2888,849,0,2399,3495,3084,2224,19,2821,1226,800,1582,1360,2279,1719,1002
person:658,959,488,1550,2399,0,1097,684,188,2380,440,1420,1978,2852,1672,775,1193,2211
person:673,139,611,2646,3495,1097,0,417,1279,3475,678,2449,3024,3780,2630,1490,2105,3217
person:675,283,195,2234,3084,684,417,0,863,3064,297,2067,2637,3442,2274,1182,1759,2846
person:703,1141,667,1375,2224,188,1279,863,0,2205,628,1292,1836,2748,1570,807,1122,2084
handbag:723,3336,2868,830,19,2380,3475,3064,2205,0,2802,1208,787,1581,1345,2261,1701,994
backpack:119,539,155,1973,2821,440,678,297,628,2802,0,1776,2349,3144,1977,892,1461,2552
bird:733,2311,1880,612,1226,1420,2449,2067,1292,1208,1776,0,577,1479,373,1080,493,792
bird:747,2886,2448,700,800,1978,3024,2637,1836,787,2349,577,0,1088,575,1644,1019,337
bird:749,3650,3271,1789,1582,2852,3780,3442,2748,1581,3144,1479,1088,0,1180,2293,1682,753
bird:708,2496,2098,938,1360,1672,2630,2274,1570,1345,1977,373,575,1180,0,1169,528,612
bird:753,1363,1038,1503,2279,775,1490,1182,807,2261,892,1080,1644,2293,1169,0,642,1776
bird:757,1972,1589,1051,1719,1193,2105,1759,1122,1701,1461,493,1019,1682,528,642,0,1134
bird:745,3080,2663,1036,1002,2211,3217,2846,2084,994,2552,792,337,753,612,1776,1134,0
