,person:648,person:652,person:703,handbag:723,person:778,person:675,kite:791,bird:799,person:803,person:811,bird:808,bird:820,bird:824,bird:807
person:648,0,905,1673,813,1958,2200,1474,883,1454,1253,872,1077,649,1877
person:652,905,0,2578,94,2863,3105,1211,1139,2359,354,1515,1837,1295,2734
person:703,1673,2578,0,2487,287,531,2819,2062,232,2927,1529,1218,1579,793
handbag:723,813,94,2487,0,2771,3013,1189,1064,2267,442,1426,1744,1204,2639
person:778,1958,2863,287,2771,0,243,3063,2307,505,3211,1759,1423,1830,790
person:675,2200,3105,531,3013,243,0,3277,2524,746,3453,1967,1619,2051,870
kite:791,1474,1211,2819,1189,3063,3277,0,756,2589,1206,1311,1676,1242,2618
bird:799,883,1139,2062,1064,2307,2524,756,0,1832,1343,570,944,487,1903
person:803,1454,2359,232,2267,505,746,2589,1832,0,2706,1304,1007,1348,763
person:811,1253,354,2927,442,3211,3453,1206,1343,2706,0,1791,2132,1583,3053
bird:808,872,1515,1529,1426,1759,1967,1311,570,1304,1791,0,375,233,1335
bird:820,1077,1837,1218,1744,1423,1619,1676,944,1007,2132,375,0,550,961
bird:824,649,1295,1579,1204,1830,2051,1242,487,1348,1583,233,550,0,1494
bird:807,1877,2734,793,2639,790,870,2618,1903,763,3053,1335,961,1494,0
