,person:2,person:3,person:5,person:119,backpack:137,person:377,person:468,bird:514,bird:522,bird:492
person:2,0,1390,412,2487,1759,2755,741,2526,1793,932
person:3,1390,0,978,1098,421,1369,648,1318,959,1676
person:5,412,978,0,2075,1350,2343,330,2149,1466,1029
person:119,2487,1098,2075,0,757,274,1746,967,1409,2685
backpack:137,1759,421,1350,757,0,1010,1029,1274,1199,2097
person:377,2755,1369,2343,274,1010,0,2015,1099,1648,2958
person:468,741,648,330,1746,1029,2015,0,1847,1224,1189
bird:514,2526,1318,2149,967,1274,1099,1847,0,849,2370
bird:522,1793,959,1466,1409,1199,1648,1224,849,0,1523
bird:492,932,1676,1029,2685,2097,2958,1189,2370,1523,0
