,person:648,person:652,person:703,handbag:723,person:778,person:675,person:803,person:811,person:897,handbag:838,person:909,bird:917,bird:923,bird:877
person:648,0,715,1774,620,1932,2199,1472,1362,211,359,2092,1056,1692,1019
person:652,715,0,2490,100,2648,2915,2188,649,506,376,2808,1651,1271,936
person:703,1774,2490,0,2394,158,429,312,3137,1984,2124,325,1257,3232,2431
handbag:723,620,100,2394,0,2552,2819,2091,742,413,292,2711,1552,1288,888
person:778,1932,2648,158,2552,0,271,465,3294,2142,2282,170,1382,3376,2574
person:675,2199,2915,429,2819,271,0,728,3560,2410,2551,108,1592,3612,2810
person:803,1472,2188,312,2091,465,728,0,2832,1683,1825,620,976,2922,2122
person:811,1362,649,3137,742,3294,3560,2832,0,1155,1023,3453,2227,1100,1219
person:897,211,506,1984,413,2142,2410,1683,1155,0,149,2302,1235,1570,970
handbag:838,359,376,2124,292,2282,2551,1825,1023,149,0,2444,1379,1527,995
person:909,2092,2808,325,2711,170,108,620,3453,2302,2444,0,1489,3505,2703
bird:917,1056,1651,1257,1552,1382,1592,976,2227,1235,1379,1489,0,2045,1251
bird:923,1692,1271,3232,1288,3376,3612,2922,1100,1570,1527,3505,2045,0,802
bird:877,1019,936,2431,888,2574,2810,2122,1219,970,995,2703,1251,802,0
