,person:2,person:3,person:5,person:119,backpack:137,handbag:363,person:370,person:377,bird:443,bird:387,bird:453,bird:346
person:2,0,1662,458,2518,1670,133,831,2739,2817,1105,1809,989
person:3,1662,0,1204,856,135,1637,2487,1079,1397,2145,721,2466
person:5,458,1204,0,2060,1215,444,1285,2282,2391,1258,1396,1349
person:119,2518,856,2060,0,860,2493,3343,230,1040,2925,1138,3301
backpack:137,1670,135,1215,860,0,1656,2500,1073,1496,2219,856,2509
handbag:363,133,1637,444,2493,1656,0,851,2717,2744,983,1732,926
person:370,831,2487,1285,3343,2500,851,0,3566,3561,1150,2550,577
person:377,2739,1079,2282,230,1073,2717,3566,0,1110,3155,1353,3531
bird:443,2817,1397,2391,1040,1496,2744,3561,1110,0,2817,1012,3348
bird:387,1105,2145,1258,2925,2219,983,1150,3155,2817,0,1881,650
bird:453,1809,721,1396,1138,856,1732,2550,1353,1012,1881,0,2362
bird:346,989,2466,1349,3301,2509,926,577,3531,3348,650,2362,0
