,person:648,person:652,person:703,handbag:723,person:778,person:675,person:803,person:811,person:897,handbag:838,person:909,bird:877,bird:917,bird:923,bird:922
person:648,0,755,1788,663,1943,2220,1469,1344,200,374,2089,941,1130,1562,722
person:652,755,0,2543,112,2698,2976,2224,591,560,403,2845,1073,1805,1165,1353
person:703,1788,2543,0,2450,156,436,328,3132,1984,2151,308,2210,1090,3106,1421
handbag:723,663,112,2450,0,2604,2881,2129,682,474,333,2749,974,1695,1140,1242
person:778,1943,2698,156,2604,0,280,478,3286,2139,2307,153,2343,1206,3245,1558
person:675,2220,2976,436,2881,280,0,752,3563,2417,2586,131,2586,1428,3493,1808
person:803,1469,2224,328,2129,478,752,0,2811,1666,1836,620,1890,803,2781,1099
person:811,1344,591,3132,682,3286,3563,2811,0,1151,992,3431,1420,2345,1070,1887
person:897,200,560,1984,474,2139,2417,1666,1151,0,175,2286,957,1316,1461,891
handbag:838,374,403,2151,333,2307,2586,1836,992,175,0,2455,1024,1487,1410,1056
person:909,2089,2845,308,2749,153,131,620,3431,2286,2455,0,2461,1308,3367,1681
bird:877,941,1073,2210,974,2343,2586,1890,1420,957,1024,2461,0,1171,914,790
bird:917,1130,1805,1090,1695,1206,1428,803,2345,1316,1487,1308,1171,0,2085,457
bird:923,1562,1165,3106,1140,3245,3493,2781,1070,1461,1410,3367,914,2085,0,1686
bird:922,722,1353,1421,1242,1558,1808,1099,1887,891,1056,1681,790,457,1686,0
