,person:641,person:648,person:652,person:703,handbag:723,backpack:119,bird:753,person:778,person:675,bird:791,bird:795,bird:798,bird:799,bird:802,person:803
person:641,0,2446,3370,925,3282,10,3329,514,289,1998,2934,2051,1434,2644,1029
person:648,2446,0,924,1544,837,2435,1414,1957,2187,998,885,735,1363,1005,1419
person:652,3370,924,0,2468,87,3359,1253,2882,3112,1705,932,1490,2198,1332,2344
person:703,925,1544,2468,0,2381,914,2597,416,649,1328,2141,1286,912,1929,155
handbag:723,3282,837,87,2381,0,3272,1229,2795,3025,1623,878,1405,2113,1268,2257
backpack:119,10,2435,3359,914,3272,0,3319,504,279,1989,2924,2041,1425,2634,1019
bird:753,3329,1414,1253,2597,1229,3319,0,2943,3139,1330,530,1310,1907,684,2442
person:778,514,1957,2882,416,2795,504,2943,0,232,1633,2512,1637,1124,2264,539
person:675,289,2187,3112,649,3025,279,3139,232,0,1818,2721,1841,1281,2456,767
bird:791,1998,998,1705,1328,1623,1989,1330,1633,1818,0,986,265,582,646,1173
bird:795,2934,885,932,2141,878,2924,530,2512,2721,986,0,883,1563,428,1991
bird:798,2051,735,1490,1286,1405,2041,1310,1637,1841,265,883,0,717,648,1132
bird:799,1434,1363,2198,912,2113,1425,1907,1124,1281,582,1563,717,0,1226,776
bird:802,2644,1005,1332,1929,1268,2634,684,2264,2456,646,428,648,1226,0,1774
person:803,1029,1419,2344,155,2257,1019,2442,539,767,1173,1991,1132,776,1774,0
