,person:3,person:119,person:377,person:566,person:583,person:587,person:596,bird:554,bird:537,person:641,kite:643
person:3,0,2347,2795,3142,2643,3239,1438,2403,2058,533,2058
person:119,2347,0,449,796,296,897,915,1580,1501,1820,793
person:377,2795,449,0,360,154,469,1360,1797,1794,2267,1115
person:566,3142,796,360,0,503,110,1711,1918,1975,2616,1347
person:583,2643,296,154,503,0,607,1209,1699,1674,2116,983
person:587,3239,897,469,110,607,0,1812,1943,2018,2715,1410
person:596,1438,915,1360,1711,1209,1812,0,1650,1393,907,918
bird:554,2403,1580,1797,1918,1699,1943,1650,0,346,2072,828
bird:537,2058,1501,1794,1975,1674,2018,1393,346,0,1736,707
person:641,533,1820,2267,2616,2116,2715,907,2072,1736,0,1601
kite:643,2058,793,1115,1347,983,1410,918,828,707,1601,0
