,person:2,person:3,person:5,person:119,handbag:137,handbag:363,person:370,person:377,person:468,bird:492,bird:474,bird:496,bird:470
person:2,0,1558,476,2521,1796,199,745,2806,984,1224,918,917,1412
person:3,1558,0,1082,963,284,1433,2303,1249,574,1006,1941,1261,2272
person:5,476,1082,0,2045,1323,373,1221,2330,508,911,1103,742,1562
person:119,2521,963,2045,0,743,2395,3266,290,1537,1787,2840,2128,3105
handbag:137,1796,284,1323,743,0,1686,2541,1018,824,1282,2224,1545,2557
handbag:363,199,1433,373,2395,1686,0,886,2683,863,1027,809,719,1297
person:370,745,2303,1221,3266,2541,886,0,3552,1729,1846,1055,1471,1457
person:377,2806,1249,2330,290,1018,2683,3552,0,1823,2069,3129,2415,3387
person:468,984,574,508,1537,824,863,1729,1823,0,780,1451,855,1843
bird:492,1224,1006,911,1787,1282,1027,1846,2069,780,0,1101,398,1318
bird:474,918,1941,1103,2840,2224,809,1055,3129,1451,1101,0,717,493
bird:496,917,1261,742,2128,1545,719,1471,2415,855,398,717,0,1012
bird:470,1412,2272,1562,3105,2557,1297,1457,3387,1843,1318,493,1012,0
