,person:2,person:3,person:5,person:119,handbag:137,handbag:363,person:370,person:377,bird:443,person:468,bird:470,bird:492,bird:474,bird:459,bird:496
person:2,0,1650,471,2517,1818,172,762,2792,2540,1190,1488,1582,1158,943,1234
person:3,1650,0,1178,866,212,1597,2412,1144,1262,460,2208,699,1399,2040,903
person:5,471,1178,0,2045,1348,439,1234,2321,2121,718,1552,1169,977,1124,872
person:119,2517,866,2045,0,713,2462,3279,281,1125,1326,2917,1280,2121,2846,1628
handbag:137,1818,212,1348,713,0,1776,2580,980,1314,636,2420,887,1611,2248,1115
handbag:363,172,1597,439,2462,1776,0,832,2741,2419,1141,1327,1463,991,801,1100
person:370,762,2412,1234,3279,2580,832,0,3555,3233,1952,1647,2284,1680,1072,1907
person:377,2792,1144,2321,281,980,2741,3555,0,1267,1603,3186,1549,2395,3126,1905
bird:443,2540,1262,2121,1125,1314,2419,3233,1267,0,1553,2314,958,1663,2469,1326
person:468,1190,460,718,1326,636,1141,1952,1603,1553,0,1897,714,1117,1647,687
bird:470,1488,2208,1552,2917,2420,1327,1647,3186,2314,1897,0,1637,810,588,1310
bird:492,1582,699,1169,1280,887,1463,2284,1549,958,714,1637,0,851,1622,395
bird:474,1158,1399,977,2121,1611,991,1680,2395,1663,1117,810,851,0,805,500
bird:459,943,2040,1124,2846,2248,801,1072,3126,2469,1647,588,1622,805,0,1233
bird:496,1234,903,872,1628,1115,1100,1907,1905,1326,687,1310,395,500,1233,0
