,person:2,person:3,person:5,person:119,backpack:137,handbag:363,person:370,person:377,bird:443,bird:453,bird:364
person:2,0,1636,463,2519,1676,128,842,2752,2832,1736,1215
person:3,1636,0,1173,883,135,1604,2471,1118,1434,733,1250
person:5,463,1173,0,2056,1216,439,1300,2290,2400,1323,966
person:119,2519,883,2056,0,854,2486,3354,240,1059,1212,1971
backpack:137,1676,135,1216,854,0,1654,2517,1079,1508,867,1372
handbag:363,128,1604,439,2486,1654,0,868,2722,2755,1653,1099
person:370,842,2471,1300,3354,2517,868,0,3589,3582,2477,1801
person:377,2752,1118,2290,240,1079,2722,3589,0,1125,1437,2207
bird:443,2832,1434,2400,1059,1508,2755,3582,1125,0,1105,1851
bird:453,1736,733,1323,1212,867,1653,2477,1437,1105,0,805
bird:364,1215,1250,966,1971,1372,1099,1801,2207,1851,805,0
