,person:641,person:648,person:652,person:703,handbag:723,backpack:119,bird:753,person:778,person:675,bird:791,bird:795,bird:798,bird:799,bird:802,person:803
person:641,0,2469,3382,910,3291,11,3660,522,303,2131,3123,2291,1548,2875,1029
person:648,2469,0,914,1580,822,2479,1639,1970,2191,1002,986,633,1296,1046,1442
person:652,3382,914,0,2493,91,3392,1300,2884,3105,1645,860,1281,2106,1198,2356
person:703,910,1580,2493,0,2402,918,2923,393,617,1463,2332,1511,985,2144,164
handbag:723,3291,822,91,2402,0,3300,1301,2793,3014,1564,822,1197,2018,1145,2264
backpack:119,11,2479,3392,918,3300,0,3671,530,310,2142,3134,2302,1559,2886,1039
bird:753,3660,1639,1300,2923,1301,3671,0,3258,3447,1532,653,1413,2123,785,2759
person:778,522,1970,2884,393,2793,530,3258,0,224,1757,2686,1857,1214,2473,530
person:675,303,2191,3105,617,3014,310,3447,224,0,1932,2888,2056,1368,2661,749
bird:791,2131,1002,1645,1463,1564,2142,1532,1757,1932,0,1062,384,591,754,1299
bird:795,3123,986,860,2332,822,3134,653,2686,2888,1062,0,832,1637,381,2171
bird:798,2291,633,1281,1511,1197,2302,1413,1857,2056,384,832,0,845,646,1348
bird:799,1548,1296,2106,985,2018,1559,2123,1214,1368,591,1637,845,0,1346,837
bird:802,2875,1046,1198,2144,1145,2886,785,2473,2661,754,381,646,1346,0,1980
person:803,1029,1442,2356,164,2264,1039,2759,530,749,1299,2171,1348,837,1980,0
