,person:648,person:652,person:703,handbag:723,person:778,person:675,person:803,person:811,bird:820,person:838,bird:824
person:648,0,893,1750,805,1969,2206,1440,1323,1074,204,1229
person:652,893,0,2643,89,2863,3099,2334,434,1263,690,721
person:703,1750,2643,0,2556,225,463,323,3074,2250,1954,2859
handbag:723,805,89,2556,0,2775,3011,2246,519,1204,602,725
person:778,1969,2863,225,2775,0,238,531,3292,2423,2173,3060
person:675,2206,3099,463,3011,238,0,765,3528,2624,2409,3284
person:803,1440,2334,323,2246,531,765,0,2762,1936,1644,2536
person:811,1323,434,3074,519,3292,3528,2762,0,1492,1119,717
bird:820,1074,1263,2250,1204,2423,2624,1936,1492,0,1038,871
person:838,204,690,1954,602,2173,2409,1644,1119,1038,0,1058
bird:824,1229,721,2859,725,3060,3284,2536,717,871,1058,0
