,person:2,person:3,person:5,person:119,handbag:137,handbag:363,person:370,person:377,bird:443,person:468,bird:492,bird:474,bird:470
person:2,0,1602,464,2519,1828,168,752,2796,2355,1084,1425,1015,1440
person:3,1602,0,1138,917,264,1497,2354,1196,1202,518,880,1664,2193
person:5,464,1138,0,2055,1366,376,1217,2332,1956,619,1066,1001,1527
person:119,2519,917,2055,0,706,2414,3272,282,1212,1435,1552,2476,2961
handbag:137,1828,264,1366,706,0,1734,2581,974,1275,752,1118,1928,2455
handbag:363,168,1497,376,2414,1734,0,866,2693,2199,982,1264,866,1321
person:370,752,2354,1217,3272,2581,866,0,3549,3027,1836,2082,1382,1565
person:377,2796,1196,2332,282,974,2693,3549,0,1388,1713,1821,2753,3231
bird:443,2355,1202,1956,1212,1275,2199,3027,1388,0,1487,945,1827,2160
person:468,1084,518,619,1435,752,982,1836,1713,1487,0,788,1283,1834
bird:492,1425,880,1066,1552,1118,1264,2082,1821,945,788,0,957,1410
bird:474,1015,1664,1001,2476,1928,866,1382,2753,1827,1283,957,0,553
bird:470,1440,2193,1527,2961,2455,1321,1565,3231,2160,1834,1410,553,0
