,person:2,person:3,person:5,person:119,handbag:137,person:377,person:468,bird:496,bird:522,bird:492
person:2,0,1452,460,2495,1764,2798,859,875,1976,994
person:3,1452,0,992,1043,362,1348,593,1717,893,1319
person:5,460,992,0,2035,1308,2338,398,1001,1570,878
person:119,2495,1043,2035,0,755,306,1637,2687,1127,2234
handbag:137,1764,362,1308,755,0,1045,916,2078,1028,1679
person:377,2798,1348,2338,306,1045,0,1940,2991,1377,2534
person:468,859,593,398,1637,916,1940,0,1243,1248,961
bird:496,875,1717,1001,2687,2078,2991,1243,0,1821,492
bird:522,1976,893,1570,1127,1028,1377,1248,1821,0,1329
bird:492,994,1319,878,2234,1679,2534,961,492,1329,0
