,person:1,person:2,person:3,person:4,person:5,person:9,person:66,person:73,bird:86,bird:88,bird:71,bird:79
person:1,0,872,2570,1925,1380,2230,3013,3414,1386,961,3080,1245
person:2,872,0,1702,1063,510,1363,2145,2551,1345,1108,2293,629
person:3,2570,1702,0,648,1191,339,443,850,2323,2405,969,1509
person:4,1925,1063,648,0,555,312,1091,1489,1773,1795,1322,894
person:5,1380,510,1191,555,0,852,1634,2040,1511,1410,1832,594
person:9,2230,1363,339,312,852,0,782,1188,2048,2096,1149,1195
person:66,3013,2145,443,1091,1634,782,0,419,2711,2823,902,1935
person:73,3414,2551,850,1489,2040,1188,419,0,3021,3170,901,2299
bird:86,1386,1345,2323,1773,1511,2048,2711,3021,0,438,2366,924
bird:88,961,1108,2405,1795,1410,2096,2823,3170,438,0,2608,901
bird:71,3080,2293,969,1322,1832,1149,902,901,2366,2608,0,1848
bird:79,1245,629,1509,894,594,1195,1935,2299,924,901,1848,0
