,person:1,person:2,person:3,person:5,person:9,person:66,person:119,backpack:137,person:4,bird:298,bird:345
person:1,0,841,2445,1320,2191,2737,3417,2647,1581,2284,1712
person:2,841,0,1604,479,1349,1896,2576,1806,743,1619,1112
person:3,2445,1604,0,1127,254,292,972,236,878,1228,1362
person:5,1320,479,1127,0,873,1419,2100,1327,268,1357,978
person:9,2191,1349,254,873,0,546,1226,471,628,1154,1185
person:66,2737,1896,292,1419,546,0,680,166,1169,1356,1583
person:119,3417,2576,972,2100,1226,680,0,791,1848,1804,2160
backpack:137,2647,1806,236,1327,471,166,791,0,1068,1427,1595
person:4,1581,743,878,268,628,1169,1848,1068,0,1327,1057
bird:298,2284,1619,1228,1357,1154,1356,1804,1427,1327,0,579
bird:345,1712,1112,1362,978,1185,1583,2160,1595,1057,579,0
