,person:1,person:2,person:3,person:5,person:9,person:66,person:119,backpack:137,bird:201,person:251,person:4,bird:298,bird:308,bird:306
person:1,0,857,2469,1315,2192,2761,3390,2643,1709,1001,1582,2422,1679,3321
person:2,857,0,1613,458,1338,1905,2536,1787,1321,440,725,1695,1139,2521
person:3,2469,1613,0,1155,277,292,923,198,1788,1596,891,983,1471,1146
person:5,1315,458,1155,0,881,1448,2079,1328,1305,599,266,1363,1036,2109
person:9,2192,1338,277,881,0,568,1198,466,1581,1322,619,929,1258,1324
person:66,2761,1905,292,1448,568,0,632,159,2004,1878,1183,1085,1695,978
person:119,3390,2536,923,2079,1198,632,0,767,2497,2487,1814,1455,2211,825
backpack:137,2643,1787,198,1328,466,159,767,0,1982,1789,1061,1130,1666,1128
bird:201,1709,1321,1788,1305,1581,2004,2497,1982,0,884,1369,1086,324,2055
person:251,1001,440,1596,599,1322,1878,2487,1789,884,0,805,1421,733,2332
person:4,1582,725,891,266,619,1183,1814,1061,1369,805,0,1211,1067,1880
bird:298,2422,1695,983,1363,929,1085,1455,1130,1086,1421,1211,0,859,977
bird:308,1679,1139,1471,1036,1258,1695,2211,1666,324,733,1067,859,0,1837
bird:306,3321,2521,1146,2109,1324,978,825,1128,2055,2332,1880,977,1837,0
