,person:1,person:2,person:3,person:5,person:9,person:66,person:119,backpack:137,bird:201,person:4,bird:298,bird:308,bird:328
person:1,0,850,2463,1314,2194,2760,3386,2644,1571,1588,2409,1659,937
person:2,850,0,1614,463,1345,1910,2538,1793,1210,738,1697,1166,1477
person:3,2463,1614,0,1152,270,296,924,203,1812,883,1040,1569,2906
person:5,1314,463,1152,0,885,1448,2077,1330,1239,274,1379,1103,1874
person:9,2194,1345,270,885,0,566,1192,465,1595,620,977,1360,2642
person:66,2760,1910,296,1448,566,0,629,158,2045,1178,1147,1797,3187
person:119,3386,2538,924,2077,1192,629,0,763,2556,1808,1511,2306,3777
backpack:137,2644,1793,203,1330,465,158,763,0,2013,1057,1190,1769,3107
bird:201,1571,1210,1812,1239,1595,2045,2556,2013,0,1352,1134,250,1396
person:4,1588,738,883,274,620,1178,1808,1057,1352,0,1253,1175,2129
bird:298,2409,1697,1040,1379,977,1147,1511,1190,1134,1253,0,900,2497
bird:308,1659,1166,1569,1103,1360,1797,2306,1769,250,1175,900,0,1602
bird:328,937,1477,2906,1874,2642,3187,3777,3107,1396,2129,2497,1602,0
