,person:2,person:3,person:5,person:119,handbag:137,handbag:363,person:370,person:377,bird:443,person:468,bird:470,bird:490,bird:491,bird:492,bird:474
person:2,0,1663,463,2534,1822,124,749,2808,2717,1271,1381,936,1189,1827,1238
person:3,1663,0,1200,871,199,1583,2412,1146,1376,391,1994,1043,2429,654,1119
person:5,463,1200,0,2071,1360,392,1212,2345,2302,808,1388,616,1452,1405,948
person:119,2534,871,2071,0,724,2455,3284,278,1129,1262,2707,1852,3241,1067,1830
handbag:137,1822,199,1360,724,0,1749,2571,990,1401,558,2193,1241,2624,788,1317
handbag:363,124,1583,392,2455,1749,0,833,2730,2604,1193,1277,815,1146,1718,1114
person:370,749,2412,1212,3284,2571,833,0,3557,3404,2021,1641,1597,1064,2533,1847
person:377,2808,1146,2345,278,990,2730,3557,0,1228,1536,2971,2129,3517,1320,2099
bird:443,2717,1376,2302,1129,1401,2604,3404,1228,0,1644,2287,1807,2999,897,1589
person:468,1271,391,808,1262,558,1193,2021,1536,1644,0,1735,741,2088,791,913
bird:470,1381,1994,1388,2707,2193,1277,1641,2971,2287,1735,0,999,783,1658,883
bird:490,936,1043,616,1852,1241,815,1597,2129,1807,741,999,0,1391,946,332
bird:491,1189,2429,1452,3241,2624,1146,1064,3517,2999,2088,783,1391,0,2262,1452
bird:492,1827,654,1405,1067,788,1718,2533,1320,897,791,1658,946,2262,0,811
bird:474,1238,1119,948,1830,1317,1114,1847,2099,1589,913,883,332,1452,811,0
