,person:648,person:652,person:703,handbag:723,person:778,person:675,bird:799,person:803,person:811,bird:808,bird:820,bird:824
person:648,0,898,1723,819,1965,2202,1364,1446,1296,1012,1013,735
person:652,898,0,2620,80,2863,3100,998,2344,402,1172,1516,725
person:703,1723,2620,0,2542,245,484,2853,287,3019,2231,1792,2268
handbag:723,819,80,2542,0,2785,3021,985,2265,478,1115,1444,665
person:778,1965,2863,245,2785,0,239,3071,522,3261,2438,1981,2496
person:675,2202,3100,484,3021,239,0,3284,756,3497,2641,2172,2718
bird:799,1364,998,2853,985,3071,3284,0,2568,995,675,1189,633
person:803,1446,2344,287,2265,522,756,2568,0,2741,1951,1524,1981
person:811,1296,402,3019,478,3261,3497,995,2741,0,1380,1799,977
bird:808,1012,1172,2231,1115,2438,2641,675,1951,1380,0,513,451
bird:820,1013,1516,1792,1444,1981,2172,1189,1524,1799,513,0,822
bird:824,735,725,2268,665,2496,2718,633,1981,977,451,822,0
